id,number_of_artists,artist_followers,number_of_markets
5GvH7ajEvnMSXna0r1g4vv,1,56789.0,1
2zftbCtv7JmZlZoeiqmtz5,2,76846.5,1
7mxvAMPNNhVOjwERY86qsQ,1,84649.0,1
61wuXGoO1sNSd3Q9U2f3BM,1,287.0,1
4YXznU7jz8lmpjGkgKmOKG,1,2380.0,1
4it2K0tmZilFqWANEG6Iob,1,2080.0,1
19Jpklll1dZJDCHx7PwF6T,1,1652.0,1
45Rb3JTwavEVeRqwzZ2IZr,1,4521.0,1
2hwSn0KoVDVWDrT7lgs9AB,1,84649.0,1
2knO3krT8I9vYHgwdyGHel,1,69044.0,1
6QYpxZH8RvVi1pmq0mrwZs,1,2380.0,1
4mmGgRMtwe4hMXNb7iBx2C,1,559.0,1
7mEADCIJOE7cHyz5gjqQJt,1,1652.0,1
5SVh6tWTKNChKXZlwTep1w,1,69044.0,1
3ahULi0Sg9a6ZQ4K5btwU1,1,56789.0,1
3rUvGA0NjR2B0bs3x02SuG,1,559.0,1
3yXLbtChAYdlBVVBurGJY4,1,287.0,1
4ujE4TW4fAoRXimVjjkAd0,1,2380.0,1
5uXGcoBecTKxtueXM6oE1s,1,84649.0,1
7qWSaDP6wuTxSmx0a6fSOQ,1,1409.0,183
5WmEbTQGpuCw3OtFlvQNU6,1,1409.0,183
3Kx7kRSI7sqEiAAG6Tc2i4,1,1409.0,183
7q4KaYjXeNCW8KqQ5idrrs,1,1409.0,183
0p8iwJXv4olCN2YtTgySNX,1,1409.0,183
7aSV4PV0CEuUW7zeN47kqF,1,1409.0,183
27Aoq88eg3kWNqB6Zix5PK,1,1409.0,183
5UsP6nurWpC7zqKCP4kBM8,1,1409.0,183
1hqFiLMyqfI85HkjPD0alX,1,1409.0,183
1UG3RNfTVG3qlATGXC21sg,1,1409.0,183
1dJA8LgZJceEd8RvTjW3l6,1,1409.0,183
7FaTm0hlAQdwv42okJ8Ep2,1,1409.0,183
2H07XAWTOm1VDiE6DJRxh7,1,1409.0,183
3GRuqSsHuo2DRknsGjXMnK,1,1409.0,183
1kfo4VD04W138LPVHGcnPq,1,1409.0,183
